Name,mffc_1,mffc_2,mffc_3,mffc_4,mffc_5,mffc_6,mffc_7,mffc_8,mffc_9,mffc_10,mffc_11,mffc_12,mffc_13,mffc_14,mffc_15,mffc_16,mffc_17,mffc_18,delta1_1,delta1_2,delta1_3,delta1_4,delta1_5,delta1_6,delta1_7,delta1_8,delta1_9,delta1_10,delta1_11,delta1_12,delta1_13,delta1_14,delta1_15,delta1_16,delta1_17,delta1_18,delta2_1,delta2_2,delta2_3,delta2_4,delta2_5,delta2_6,delta2_7,delta2_8,delta2_9,delta2_10,delta2_11,delta2_12,delta2_13,delta2_14,delta2_15,delta2_16,delta2_17,delta2_18
durao,-353.99215627535204,63.35982733489469,26.171244631153805,5.243778573414463,-2.0501172929017097,-2.091105894598728,-22.00672925905185,-26.994926588607647,-21.155598391141194,-12.08204198091092,-17.63293629842828,-9.091597545042431,-11.550811225015208,-13.80112150927688,-12.16285529033204,-3.6106975749096817,-15.186633231888583,-12.849498503319118,-0.36147455848589655,0.38030525844585733,0.13568333399669297,0.045550629290551335,-0.07148475701209583,-0.002097823858726002,-0.050241697420179005,-0.009296099801498639,-0.014740822055109189,-0.009271895537173216,-0.024768648837640555,-0.026109320610892744,0.028991245159273357,-0.0207492710470953,-0.019148437501413425,0.03556130396102442,-0.046330420836710254,-0.03348923903931793,0.021661916713597244,-0.03797457839729699,0.023182204360397824,0.007338006619736913,0.024686522104700494,0.03160615612833742,0.06997812065377408,0.021479023514211586,0.02190615035263731,0.02598020569149662,0.011242921270299678,0.01542304963740163,-0.010445482658504045,0.009102561459767665,0.018994566592500192,-0.013127492472595688,0.041024590113718236,0.01742573154844308
durao,-353.3976300678162,66.91979700826892,22.42702425924585,3.465044149555438,0.06533997515238223,-2.9635208500998385,-21.963081872447322,-17.285211354943446,-21.913499316103078,-12.849872848734758,-25.263300607344735,-9.449901110203921,-13.519352601411448,-14.292241685909804,-10.805276457231091,-1.8407972806532538,-16.68791681512082,-11.978849228942966,-0.19316914777167665,0.20521445686169465,0.05075554412624197,-0.04129023442741769,-0.08793979466452767,-0.03391737720966469,-0.0872713045137356,-0.008057055957927963,0.02211929127296496,-0.009374983589014872,-0.02259371806287328,0.007069716540434915,-0.000438552591870337,0.010778856600100552,-0.014162780800178668,-0.011449983001119922,-0.047614016592766734,-0.018410565098165924,0.24226198212119746,-0.0391831784636349,-0.05476422817399224,-0.052602627722538195,-0.017523968465974444,-0.028714000109787842,-0.01493664017840523,0.020762099641560863,0.0339303555896227,0.04562544209842026,0.025868353429572475,0.036222637381967474,0.00858815772946959,0.03219816965334738,0.026865803486892208,0.006274083025067358,0.013201246847606833,0.017346200926900188
durao,-362.38589778832767,64.63107563989101,29.631514783248623,1.7319088747221578,2.2358831626326596,-0.28742854497442377,-16.72900347017114,-18.629939503270403,-20.167556045291995,-12.660830727582539,-20.845878637231884,-7.692875292601392,-12.165718635741621,-15.614592006030744,-12.91500977544382,-2.548616280132472,-14.083194341169524,-11.996537566719207,-0.43241870037078606,0.25630330517972033,0.09862961288033076,0.0032652320416438067,-0.08493867366900418,-0.0016933250774567542,-0.00835351958782439,0.01591928446836636,-0.031778237701666816,-0.01703188004077528,-0.02438690944157326,0.010249498752573276,0.025559945577202155,-0.02245817834866037,-0.03044321539058041,0.022373103313523594,-0.05551629589556938,-0.013455886715622952,0.04162779573919984,-0.07684267671385596,0.005431505723044843,-0.005420804571015745,0.00491141578043817,0.001397105044847036,0.07497562390335273,0.049171965269077314,0.021036708890637797,0.042245568066827895,0.005552603920354368,-0.009407858423519214,0.004238034649679635,0.017779111948966066,0.03242494290915592,0.0032435930245229795,0.026896111488178553,0.0035088502095944885
durao,-342.7483879777311,60.276721895757674,22.292609298113984,0.7949932989862593,3.5181385371941123,-1.5818329888937759,-16.209226509575156,-22.421555512016024,-21.17148732200602,-10.19321990817102,-24.857967730169385,-6.74786545985286,-14.095897577316437,-15.040669338280397,-10.963707080859232,-0.6283795754695246,-15.355536271680705,-11.64468869596572,-0.21133292129491155,0.19547134176235176,0.09588849782896326,-0.0123451411609676,-0.08983215601249261,0.023629680695039915,-0.025655776732646372,0.02712303929025338,-0.0001690649629797617,-0.06463472702662264,-0.03619023731529072,0.005365707880368345,0.014509038373169312,-0.008024892919494524,-0.03212279900028424,0.01386778684584211,-0.0212977910531186,-0.017635193034410857,-0.035605775657616356,-0.07687148098109195,0.04953032164873764,-0.003891793867865189,0.011651139698413531,0.01902416830251626,0.07140147886280401,0.028598348809920078,0.020177309850457043,0.006021333286946433,0.046588153543514504,0.012456021962063695,-0.00427847668586397,0.014194566639625606,0.02486936843623734,-0.004729871812862835,0.046285395842869566,0.04268694250835928
durao,-356.2175366804023,65.39530275568038,27.41958891528137,-2.5850416219025067,-2.3355597379581505,3.544908386354205,-19.467525774873792,-17.799906169812807,-18.851047509327277,-19.31433931857101,-20.48950711781763,-10.184945999700666,-10.551329983129879,-11.85340461008606,-11.325384664732889,-1.9003809190551084,-16.416811896181205,-4.1618015346777515,-0.42582992129563557,0.20616356046112744,0.10244516397283493,-0.05346029014614236,-0.06685751716800065,0.03884109196690985,0.031235087327378227,0.007385191867385165,-0.020220090923112246,-0.05859323911086844,0.019174578817677815,-0.013064200304027726,0.0059577559441303714,0.00491163107995531,-0.046147548643956635,0.012802697099582453,0.006209808786190722,-0.018498512592325846,-0.05479646963356934,-0.0458894746280378,0.004893963101563383,-0.018778049932189518,0.030208585902369706,0.0029171514537765383,0.08851320225712758,0.017000947137188083,0.02635327268963522,0.03874664387572225,0.052407231812539194,0.032546769118709226,-0.008105741810481458,0.0108273147131793,0.007922589025816969,0.0003462423062969744,0.03666469618157009,0.0008540459132369072
durao,-331.9398299523185,64.42126590001982,23.353046120763086,-0.04618234362312713,-2.291107618468797,-2.095387176770719,-16.979496052292983,-26.057253911228727,-23.618726157232313,-9.710343625296744,-25.10786668857132,-8.363503828305376,-8.16583205625409,-13.259642220626638,-13.370151260607196,-2.9605118919229736,-13.318665613630527,-13.38665765644287,-0.3980035370086972,0.2909887784862885,0.05502677276001622,-0.04192836384130009,-0.10791184173641993,0.000776973267334249,-0.029562603312153535,0.001138412052611064,-0.016419803944795523,-0.08003264169416215,-0.037590525743947945,-0.026324074428178218,0.04990763018163724,-0.021117561287237914,-0.06005223740224954,0.0435836968640843,-0.027836054832781003,-0.051934415422138704,-0.22690237347670564,-0.0573258461925853,0.04090534707164022,-0.007500301333399376,0.03891634665935542,0.03923735222739766,0.08591304864506231,0.05308375741941418,0.03062664511836987,0.011576829049433355,0.06020171150170318,0.007867360246640774,0.00485499273178199,0.03179237101974317,0.03709654864053753,-0.012998881563526547,0.05892386847779175,0.030248946525806158
durao,-360.64341826023735,65.41463803018598,29.09258981369136,0.8546838993202578,0.7008382681421833,-0.5000108472264452,-13.873308126745352,-20.374315933062988,-19.39994135987679,-11.54437340639319,-25.456923184763582,-7.7913690510157965,-12.809568404286662,-15.603771280666507,-10.225279833560172,-5.79499984957488,-12.301095775866415,-11.560074406664473,-0.5151261528463473,0.291253378447169,0.08459508961746762,-0.05055290959927666,-0.09632799283739313,0.05032168668938983,-0.008301132247608402,0.008074759480083618,0.010439530152413598,-0.04897446596625924,-0.00995437465011447,-0.013800270680255577,0.03043897639298191,-0.04409175160968137,-0.04084271595075177,0.04253445087633814,-0.03714339395075548,-0.05594648570904451,0.007531073463419958,-0.056952550637225194,-0.058355500872723745,-0.05396381770188708,0.011034121511979926,0.0286552990782671,0.0865205136333004,0.02482742679842499,0.02025121716357862,0.016919996353933965,0.039794973848046054,0.030366826384100005,0.024922439752926163,0.012657514460173115,0.016114167703276012,0.005504670341770002,0.02898898186538483,0.014982940716689945
durao,-357.1186610651349,62.79103488752993,26.049200115246094,2.2832690881270623,0.13765487808705493,-4.122978434540438,-14.062587143027537,-21.783927397911157,-24.028428366748678,-8.069714956048623,-25.22560150102848,-7.2280408026235605,-16.316759204453383,-12.408177989898453,-10.806029979441371,-3.776668443197102,-12.435858605304855,-11.191317085723227,-0.12763371843376184,0.32988551631274293,0.03244012538935828,0.009178103587447292,-0.049359151538437056,-0.06643194480332586,-0.07908597911852504,-0.04352903188263308,-0.0497157350110066,-0.0033747163842570817,-0.05056286635642548,-0.017753406810908503,0.036551702890395193,-0.02349763684026646,-0.017995640259863346,0.003652219672119263,-0.05344396084010331,-0.030164738556432664,0.1989409199711931,0.009758886012805898,-0.019555571573582037,0.06763482989258975,0.0682852297666868,-0.07231012764105008,0.016215816594265887,0.041145542411611245,0.0017084965262557119,0.03452146447294493,0.0035766269171587286,0.006581808311498487,0.004584073242367784,0.012711299456474198,0.035694130539265456,0.0006496105466937484,0.015903938313211262,0.023088120357273516
durao,-348.077728886075,53.89879705906267,27.419033693420026,4.6668888577157315,-2.216033257457122,-2.3099389360869806,-19.615934946389046,-23.102851763872255,-21.702400744719437,-10.76048861745573,-21.472023748154907,-10.82437291382387,-13.533360984046729,-10.195914156578171,-13.584658661282578,-0.6741482498195708,-16.990260335346914,-9.36224283052973,-0.43870985470607127,0.28451618749840657,0.1353727050252613,0.024274255688487564,-0.009380460804447432,0.026646842292986212,0.0800785618725109,-0.04685372630589376,-0.05921651291850432,-0.024019872830491756,-0.10391575409321328,-0.012815801045318435,-0.022423659049464802,-0.06906230651202463,-0.05500953773508614,-0.04169264422291101,-0.018945069854029165,-0.026219590089478193,-0.00988601935645294,0.0027920770455023346,0.09745293427958909,0.009265964067699674,0.01623197948821436,-0.01536881645556415,0.06883720103928094,0.03883704773067773,0.036264993728850024,0.040073438657747346,0.034825459648147,0.050861646608243105,0.013550308998441271,0.00537348890521641,0.04858978227434235,-0.0073818225094008155,0.008505204384704628,-0.0019046007883903651
durao,-366.0079990760015,65.19178936146156,26.509856552875412,-0.2707381910352075,0.08574747464776003,-0.9928489561149966,-20.408961757641595,-24.6548641501018,-20.462708985304708,-12.963815695005072,-19.886062058819427,-8.16547687961313,-13.685633462844601,-12.556439319197617,-13.270247658859672,-0.20326060917700536,-18.44879376002182,-7.379848472385191,-0.33722427548291267,0.10425358807838546,0.09363045053833816,0.0017002861418027953,-0.10964913368874095,0.045054470045320996,0.007155621678461263,-0.007322700065496302,-0.053840108983496456,-0.043821467772683816,0.018174357909514674,-0.01098778329867762,0.017801269445749543,-0.001691647307488609,-0.04233847947027282,-0.020531930090714374,-0.030352435607560253,-0.017323632197417137,0.04353680185088449,-0.026344033480609864,-0.051533676565159316,-0.05001990443416522,0.007849762704362677,-0.010077317514305326,0.04780011017021947,0.012975584560026976,0.03717502096666748,0.030982295693506443,0.04466474368686716,0.018249462842405115,0.02990550142409114,0.026458756904982495,0.016161847253765987,0.0163732414159909,0.014997465081526329,-0.0059853989991046665
